ID,n_Li,n_EC,n_DMC,n_VC,n_PF6,EC,DMC,VC,PF6,EC,DMC,VC,PF6
0x1403e3f7de97287c,4,10,10,2,1,2,0,0,0,0,0,0,0
0x16ee8102927e920e,5,10,10,1,1,2,0,0,0,0,0,0,0
0x1a816fc22747853f,5,10,10,2,2,1,0,0,0,0,0,1,0
0x1e044f4ac6c75fe9,7,10,10,1,1,2,0,1,0,0,0,0,0
0x20c7ae974558a91c,4,10,10,2,2,1,0,0,0,0,0,0,0
0x20f154f373edf82e,5,10,10,1,2,1,0,0,0,1,0,0,0
0x2254f7860bf44bd6,2,10,10,2,2,0,0,0,0,0,0,0,0
0x248164f8f9b8783c,3,10,10,3,2,0,0,0,0,1,0,0,0
0x2591defae9dd6f03,4,10,10,1,2,0,1,0,0,0,0,0,0
0x2f9cc506285d44c5,7,10,10,2,2,2,0,0,0,0,0,0,0
0x30c4c1a4d6383425,8,10,10,2,1,2,0,0,0,2,0,0,0
0x30f5068cecb419cd,3,10,10,3,1,0,0,0,0,0,1,0,0
0x33f1ca76de72e83f,8,10,10,2,2,1,1,0,1,0,0,0,0
0x3dc6a01c0f24aa61,3,10,10,1,2,0,0,0,0,1,0,0,0
0x45a003bb199fa1d8,7,10,10,1,1,2,1,0,0,0,0,0,0
0x48d9fe654b0fc656,7,10,10,1,1,3,0,0,0,0,0,0,0
0x4b5350e16098f8d8,8,10,10,1,2,2,0,0,1,0,0,0,0
0x4e525ca8ad6044a5,2,10,10,2,1,0,0,0,0,0,0,0,0
0x50f6c39c827a3246,8,10,10,2,2,3,0,0,0,0,0,0,0
0x54c710aa37e92ddf,7,10,10,1,1,2,0,0,1,0,0,0,0
0x5839e9244933d11,2,10,10,3,2,0,0,0,0,0,0,0,0
0x5c0dc17df5792029,2,10,10,2,2,0,0,0,0,0,0,0,0
0x61fe56e1807b7e0f,2,10,10,1,2,0,0,0,0,0,0,0,0
0x62401f49802d07af,2,10,10,1,1,0,0,0,0,1,0,0,0
0x6a9159fb689e304f,4,10,10,1,1,2,0,0,0,0,0,0,0
0x6b06995f9b0734f5,5,10,10,2,1,2,0,0,0,0,0,0,0
0x6cbb53dc170da255,3,10,10,1,2,0,0,0,0,1,0,0,0
0x6e53dcaf9bb7d63d,5,10,10,1,2,1,0,0,0,0,0,1,0
0x738edb953423476e,8,10,10,1,1,3,0,0,0,1,0,0,0
0x75c830e125132dfc,7,10,10,3,2,3,0,0,0,0,0,0,0
0x86394955ac0627c,8,10,10,2,1,3,0,0,0,0,0,1,0
0xd14115dc66a6ebf,2,10,10,1,1,0,0,0,0,1,0,0,0
0xd9f36561a6a77e1,4,10,10,3,1,1,0,0,0,0,0,1,0
